F20_1,F20_2,F20_3,F8_1,F8_2,F8_3,CM_1,CM_2,CM_3,Gene names,Localisation
0,0,0,29.42590332,28.55270386,28.51743317,27.98652649,28.09068298,28.35144424,SEPT2,IC
0,0,0,30.03117943,29.0905571,29.88199234,27.38121223,27.88448524,26.90816116,SEPT7,IC
0,0,0,30.99833107,29.19208908,29.40602493,26.92795753,26.60611343,26.14417648,SEPT9,IC
0,0,0,29.89722252,29.65845108,29.14175224,28.62317276,28.07816315,28.30055428,SEPT11,IC
0,0,0,24.71350479,24.8517189,25.38590813,0,0,0,AAMDC,IC
0,0,0,29.95892143,29.72778702,29.36365128,0,0,0,ABCA1,IC/M
0,0,0,26.52342796,25.83296585,25.51586914,0,0,0,ABCB1,IC/M
0,0,0,29.44472313,28.86626244,29.104496,0,0,0,ABCC1,M
0,0,0,30.91627121,30.0905571,30.38195419,0,0,0,ABCC4,M
0,0,0,30.89214897,29.58811951,29.88409233,0,0,0,ABI1,IC
0,0,0,27.74477196,26.39687347,25.8554306,0,0,0,ABI2,IC
0,0,0,25.35605431,24.79971123,25.08581924,0,0,0,ABLIM3,IC
0,0,0,24.71685791,25.44711113,25.68605614,25.26130295,25.37891579,25.60746956,ABRACL,IC
0,0,0,27.78556442,26.34805298,27.27230835,26.00994301,0,26.95193672,ACAT2,IC
0,0,0,27.30059814,26.95349312,27.89081764,0,0,0,ACE,IC/M/S
0,0,0,29.86911964,28.82575035,28.60048866,26.53024673,0,0,ACO1,IC
0,0,0,32.15351868,29.47260666,30.9264164,0,0,0,ACSL4,IC/M
0,0,0,29.05860901,27.95043564,28.43948174,0,0,0,ACVR1,IC/M/S
27.2624855,24.99709702,28.65597916,32.54047012,31.5559063,32.48190689,0,0,0,ADAM10,M/S
0,0,0,29.83552551,28.59999275,29.22621155,0,0,0,ADAM17,M/S
0,0,0,0,0,0,27.32414436,25.70948792,27.67593193,ADAM19,M
29.07206535,0,0,0,0,0,28.51938438,27.36527824,27.82353401,ADAM9,M/S
0,0,0,25.64314651,25.2313633,25.83910751,0,0,0,ADCY9,IC/M
0,0,0,27.03663826,25.8207016,26.0793438,0,0,0,ADGRL2;LPHN2,M
0,0,0,29.56450844,29.16432571,29.25218964,0,0,0,ADH5,IC
0,0,0,28.62111282,28.19168854,27.87290955,0,0,0,ADSS,IC
28.15088272,0,28.924366,31.34826088,30.60919952,30.94935226,28.76581764,26.67411423,28.51746941,AGRN,IC/M/S
0,0,0,27.129179,27.03967476,26.73814964,0,0,0,AHCYL1;AHCYL2,IC
0,0,0,26.02341652,25.38347244,25.67403221,0,0,0,AHSA1,IC
0,0,0,29.47579956,28.65181351,29.26934624,0,0,0,AIDA,IC
0,0,0,29.58843994,28.61449242,29.24065781,0,0,0,AK1,IC
25.96269989,0,0,31.80689621,30.97896576,32.0610466,0,0,0,AKAP12,IC
29.18671608,28.25403786,28.42558479,31.64207458,31.46674728,31.28675461,29.79307365,29.61696625,28.38001442,AKR1B1,IC
0,0,0,26.63325691,25.84208488,26.26545715,0,0,0,AKR7A2,IC
0,0,0,28.15455627,26.56949806,27.29061508,0,0,0,AKT1,IC
0,0,0,27.07469749,24.43898201,25.27202415,0,0,0,AKT2,IC
0,0,0,26.73737717,25.01580238,24.87652016,0,0,0,AKT3,IC
26.90563965,28.76758766,0,31.82274437,30.94614792,32.073452,0,0,0,ALCAM,M
0,0,0,25.21382332,25.83581161,26.35600281,0,0,0,AMPD3,IC
0,0,0,0,0,0,27.05723953,27.08527184,27.11743546,ANGPTL3,S
0,0,0,26.86620331,28.09350586,26.80328941,27.50392723,27.68839264,28.30199432,ANGPTL4,IC/S
0,0,0,30.14102173,29.34921074,29.33325958,0,0,0,ANO6,M
26.1410408,26.9617939,27.39582825,33.56581116,33.69093704,33.55144501,0,0,24.66106606,ANPEP,M
0,0,0,0,0,0,27.0131855,26.49503136,27.56434631,ANTXR1,IC/M/S
0,0,0,30.44342041,30.02815247,29.85984993,0,0,0,ANTXR2,M
25.94799805,0,0,32.66481781,32.26673508,31.77210999,0,0,0,ANXA11,IC
0,0,0,27.02252769,26.98272324,26.56510162,0,0,0,ANXA3,IC
26.71803474,27.39001656,26.79203415,32.1308403,31.50355721,31.42962074,0,0,0,ANXA4,IC
31.57483864,32.50854874,32.07950592,35.7953186,35.57649612,35.2920723,28.18645477,27.14870262,28.00362015,ANXA6,IC
0,0,0,30.71800232,29.62611771,29.35270691,0,0,0,ANXA7,IC
25.6823349,23.9185257,24.87121773,0,0,0,0,0,0,AOC3;AOC2,IC/S
0,0,0,24.04193115,24.44278336,23.89827538,0,0,0,AP3M1;AP3M2,IC
0,0,0,0,0,0,25.5146656,28.17797661,25.72262764,APOB,S
28.00345993,28.1160965,28.80651855,28.82377815,28.29162598,28.9225235,30.0519352,29.49325752,29.12526703,APOM,IC/S
0,0,0,0,0,0,26.78281784,26.11191559,26.0055809,APP,IC/M
0,0,0,26.66098595,25.62594795,25.04476929,0,0,0,APPL1,IC
0,0,0,27.37052727,25.0052166,25.4556942,0,0,0,APPL2,IC
0,0,0,27.61617661,26.56825066,26.92478943,0,0,0,ARAF,IC
0,0,0,26.26806641,26.56261444,26.27204132,0,0,0,ARCN1,IC/S
28.1438942,0,27.75193977,27.85655975,25.76473618,26.1261673,0,0,0,AREG,M
0,0,0,26.14553833,24.9539814,24.96925735,0,0,0,ARF6,IC
0,0,0,26.77240944,26.02060127,26.23547745,0,0,0,ARHGAP1,IC/M
0,0,0,25.0134201,24.57461739,24.54427528,0,0,0,ARHGAP17,IC
0,0,0,26.64746284,26.70754051,27.00013161,0,0,0,ARHGAP18,IC
0,0,0,26.47668839,25.76293945,26.63297844,0,0,0,ARHGEF7,IC
0,0,0,28.75824356,27.77196884,27.91107941,0,0,0,ARL3,IC
0,0,0,25.78256798,25.82330322,26.00926018,0,0,0,ARMT1,IC
0,0,0,29.66061211,29.03582573,28.57257271,28.06840515,0,28.27342033,ARPC1B,IC
0,0,0,29.1853447,29.04601288,29.20666885,0,0,0,ARPC5,IC
0,0,0,27.74072647,27.70133972,27.21141052,0,0,0,ARPC5L,IC
0,0,0,24.1997776,25.81306267,25.06706238,0,0,0,ARRB1,IC
0,0,0,27.27124023,26.68096924,27.49541283,0,0,0,ARVCF,IC
0,0,0,26.00358772,27.07244873,26.35464287,0,0,0,ASPH,IC/M
0,0,0,25.23501968,24.99980927,24.88129044,0,0,0,ASS1,IC
0,0,0,28.67330551,28.72136307,28.80790138,0,0,0,ATOX1,IC
0,0,0,24.67098427,24.00915337,23.8907814,0,0,0,ATP10D,M
0,0,0,25.94592476,24.84646797,25.62232018,0,0,0,ATP13A3,M
0,0,0,32.31257248,31.22659111,31.29219627,0,0,0,ATP1B1,IC/M
0,0,0,30.69942284,31.81688309,30.86908913,0,0,0,ATP1B3,IC/M
0,0,0,31.49199677,31.29996681,30.96842957,0,0,0,ATP2B1,M
0,0,0,26.9825058,27.15015602,27.3646946,0,0,0,ATP2B3,M
26.37522507,26.78144264,27.57390976,33.53970718,32.91295624,33.05783844,0,0,0,ATP2B4,IC/M
0,0,0,0,0,0,28.00287056,27.12119484,27.72005844,ATP6AP2,IC/M/S
0,0,0,27.37044334,27.8283844,27.31553268,0,0,0,ATP6V0D1,IC
0,0,0,26.80550385,26.33186722,26.16674042,0,0,0,ATP6V1C1,IC
0,0,0,25.4636364,26.32784843,25.36509514,0,0,0,ATP6V1D,IC
0,0,0,25.82096863,26.63768387,26.02762032,0,0,0,ATP6V1E1,IC
0,0,0,28.37388992,29.18203354,29.28226471,0,0,0,ATP6V1G1,IC
0,0,0,25.43752289,25.12471008,25.17922974,0,0,0,ATP6V1H,IC
0,0,0,27.08182335,27.67141724,26.96697235,0,0,0,ATP7A,M
0,0,0,27.22361374,26.30952454,26.53064919,0,0,0,ATRN,M
0,0,0,0,0,0,26.14645195,0,0,AXL,M
32.79416656,31.28184509,32.18612671,32.53066635,32.18391037,33.46489716,32.59432602,31.62640572,32.73509598,B2M,S/M
0,0,0,0,0,0,27.14141273,25.72912598,26.63339424,B3GAT3;B3GAT2,IC/S
0,0,0,0,29.14116859,28.07275581,27.96433067,27.23224068,27.00088501,B4GAT1,S
0,0,0,26.09705925,26.23167419,26.89654541,0,0,0,BAG3,IC/M
0,0,0,27.80630493,27.12839127,27.58949471,0,0,0,BAIAP2,IC
0,0,0,27.97235107,27.17321777,27.69331932,0,0,0,BAX,IC
0,0,0,25.85851669,25.617733,26.47247887,0,0,0,BCR;BCR/ABL fusion,IC
0,0,0,30.29712486,28.25272942,28.94167709,0,0,0,BDKRB2,M
25.9785614,0,0,26.12155151,24.79009628,25.33053398,26.90747452,0,26.73285675,BGN,S
0,0,0,0,0,0,0,0,0,BHMT,IC
0,0,0,24.08302116,24.26470566,25.15861702,0,0,0,BICD2,IC
0,0,0,25.64099693,25.75049591,25.6725769,0,0,0,BLVRA,IC
29.57454109,26.36113358,27.82140732,0,0,0,26.24256325,0,27.64999962,BMP1,S
0,27.68411636,0,26.28668976,28.61371994,26.57945824,27.07632828,0,27.51818275,BMP2,S
0,0,0,29.88273621,29.72377396,29.0411129,0,0,0,BPGM,IC
0,0,0,27.24036217,26.51181984,26.31888008,0,0,0,BPNT1,IC
0,0,0,24.12004852,24.78661156,24.5932045,0,0,0,BRCC3,IC
0,0,0,30.5945034,29.09383392,29.66889954,0,0,0,BRK1,IC
0,0,0,31.21991539,30.94872475,31.26164436,0,0,0,BTN2A1,IC/M
0,0,0,25.84174919,25.86235237,25.9367218,0,0,0,BZW1,IC
0,0,0,26.80131721,26.03323936,26.07036209,0,0,0,C12orf10,IC/S
0,0,0,26.76900673,26.30999374,26.65799141,0,0,0,C12orf57,IC
0,0,0,28.23954391,27.84212112,28.03406906,0,0,0,C12orf75;OCC1,IC
30.2532711,29.62041283,29.0965004,0,0,0,25.439394,26.88203621,25.82539177,C1QTNF3-AMACR;C1QTNF3,S
27.60752487,0,27.24581146,0,0,0,28.16944695,26.79253197,28.23283577,C1S,IC/S
0,0,0,0,0,0,27.9063282,26.41504669,27.97311783,C3,IC/S
0,0,0,0,0,0,26.64814758,26.37047768,26.08072662,C8B,IC/S
0,0,0,0,0,0,28.71118927,29.10704422,28.74033928,CA2,IC
0,0,0,27.97710991,27.56390953,28.16264534,27.60879517,27.74599075,28.20475769,CAB39,IC
25.59431458,30.05064011,0,32.54875946,31.72411537,32.08840942,0,0,0,CACNA2D1,IC/M/S
0,0,0,30.9201107,29.66643143,30.09609795,0,0,0,CADM1,IC/M
0,0,0,23.76678467,26.07253075,25.31586075,0,0,0,CALML5,IC
0,0,0,26.72364235,27.05289459,26.3960743,0,0,0,CAMK2D,IC/M/S
0,0,0,27.66830826,26.45423698,26.51659203,0,0,0,CAPG,IC
0,0,0,28.55427933,27.97109032,28.01472855,0,0,0,CAPN1,IC
0,0,0,30.00704765,29.36696815,29.7858448,0,0,0,CAPN5,IC
27.45630646,0,0,29.90712929,29.12383652,29.34068298,27.68565369,28.16925621,28.18044472,CAPNS1,IC
0,0,0,0,0,0,27.94246101,26.41057205,26.01122475,CARS,IC
0,0,0,29.9434948,28.91724014,29.37341309,0,0,0,CASK,IC/M
0,0,0,25.55241966,26.32431602,26.55847549,0,0,0,CASP3,IC
0,0,0,24.67922401,24.24901772,24.43459892,0,0,0,CASP7,IC
0,0,0,27.64546967,27.9971199,28.75034332,0,0,0,CAST,IC
0,0,0,0,0,0,25.68477249,0,26.0232048,CAT,IC
0,0,0,28.48604202,28.11485672,27.04270363,0,0,0,CAV1,M
0,0,0,30.38699913,29.84171677,28.80264282,0,0,0,CAV1,M
0,0,0,24.16890335,23.04268265,23.01911545,0,0,0,CCDC22,IC
0,0,0,27.76274872,28.36952782,29.27444267,0,0,0,CCDC50,IC
0,0,0,25.64661026,25.42726326,26.354105,0,0,0,CCDC6,IC
0,0,0,27.77007866,27.47250938,27.51254272,0,0,0,CCM2,IC
0,0,0,24.68244362,24.50093842,24.42636871,0,0,0,CCNYL1,IC
0,0,0,25.70669746,25.55461693,25.67373657,0,0,0,CCS,IC
0,0,0,27.58720589,25.49295616,25.82616806,0,0,0,CD109,M
0,0,0,32.84271622,31.22423553,32.0684967,0,0,0,CD151,M
0,0,0,0,0,0,26.4778614,0,26.67263031,CD248,M
0,0,0,31.55297852,30.2074604,31.00450516,0,0,0,CD276,M/S
0,0,0,25.60387993,25.75562286,26.23580551,0,0,0,CD4,IC/M/S
0,0,0,29.10669327,27.46684456,27.95798111,0,0,0,CD46,M
0,0,0,27.03841972,26.42980385,27.07704163,0,0,0,CD46,M
