T: id,T: Protein IDs,T: Majority protein IDs,T: Protein names,T: Gene names,ctrl_1,ctrl_2,ctrl_3,ras1_1,ras1_2,ras1_3,ctrl,ras1,-Log10 p-value,q-value,log2 difference
320,P01112,P01112,"GTPase HRas;GTPase HRas, N-terminally processed",HRAS,26.8292,25.8004,24.4656,33.2024,32.4761,31.8421,25.6984,32.50686667,3.00359,0,6.80848
309,P00750,P00750,Tissue-type plasminogen activator;Tissue-type plasminogen activator chain A;Tissue-type plasminogen activator chain B,PLAT,24.8463,25.4961,24.4138,29.295,30.4425,30.7988,24.91873333,30.17876667,3.16908,0,5.26005
903,P52823,P52823,Stanniocalcin-1,STC1,23.1707,27.406,24.2354,29.4192,30.1039,29.9958,24.93736667,29.83963333,1.71936,0.0574359,4.90222
191,O15403,O15403,Monocarboxylate transporter 7,SLC16A6,24.3153,23.9156,23.2578,29.4242,27.7737,28.5473,23.82956667,28.58173333,2.95297,0,4.75219
308,P00749,P00749,Urokinase-type plasminogen activator;Urokinase-type plasminogen activator long chain A;Urokinase-type plasminogen activator short chain A;Urokinase-type plasminogen activator chain B,PLAU,26.6065,27.1452,27.8669,30.1639,32.6756,33.0313,27.2062,31.95693333,2.08836,0.0342857,4.75071
345,P03372,P03372,Estrogen receptor,ESR1,27.9062,24.9365,22.4373,30.4993,27.9271,29.9894,25.09333333,29.47193333,1.16622,0.175281,4.37862
1115,Q02297,Q02297,"Pro-neuregulin-1, membrane-bound isoform;Neuregulin-1",NRG1,23.4068,24.3398,23.7798,27.3299,29.6283,27.5683,23.84213333,28.1755,2.29246,0.02225,4.33338
547,P15144,P15144,Aminopeptidase N,ANPEP,27.7208,27.2091,25.6221,32.8661,29.6459,30.6887,26.85066667,31.0669,1.68092,0.0528,4.21626
639,P23229,P23229,Integrin alpha-6;Integrin alpha-6 heavy chain;Integrin alpha-6 light chain;Processed integrin alpha-6,ITGA6,24.827,26.5064,24.4974,31.0857,28.1928,29.0661,25.27693333,29.4482,1.77055,0.0589474,4.17125
1523,Q9H5V8,Q9H5V8,CUB domain-containing protein 1,CDCP1,24.2039,24.7833,23.0738,27.9424,28.0529,28.418,24.02033333,28.13776667,2.85444,0,4.11747
1237,Q14517;Q8TDW7,Q14517,"Protocadherin Fat 1;Protocadherin Fat 1, nuclear form",FAT1,26.2453,25.3157,22.422,28.5286,28.476,29.1265,24.661,28.71036667,1.58854,0.07092,4.04938
