Protein names,Gene names,OIS_CM,OIS_F20,OIS_F8,Vector_CM,Vector_F20,Vector_F8
"Alanine--tRNA ligase, cytoplasmic",AARS,24.9903,25.758633333333332,26.028466666666663,23.793466666666664,25.59783333333333,26.921766666666667
ATP-binding cassette sub-family A member 1,ABCA1,24.610666666666663,24.8999,29.062866666666665,24.659033333333337,24.983800000000002,24.352733333333333
Multidrug resistance-associated protein 4,ABCC4,23.742566666666665,25.081599999999998,26.608,24.163966666666667,24.741366666666664,24.48483333333333
Abl interactor 2,ABI2,24.118399999999998,25.4636,25.13,24.3299,25.681233333333335,24.0848
"Angiotensin-converting enzyme;Angiotensin-converting enzyme, soluble form",ACE,25.063066666666668,25.1485,27.674599999999998,24.28986666666667,25.384933333333333,24.95266666666667
ATP-citrate synthase,ACLY,27.660066666666665,26.544633333333334,28.646833333333333,25.066833333333335,25.159633333333332,28.132366666666666
Cytosolic acyl coenzyme A thioester hydrolase,ACOT7,24.163033333333335,25.075633333333332,26.288833333333333,24.554066666666667,25.046666666666663,24.995966666666664
Long-chain-fatty-acid--CoA ligase 4,ACSL4,24.146266666666666,24.98143333333333,29.0047,24.168833333333335,25.102933333333336,24.43263333333333
"Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle",ACTC1;ACTA1,31.028266666666667,25.282033333333334,30.135333333333335,30.3506,28.1534,31.127433333333332
"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",ACTG1,35.15446666666667,34.50396666666666,35.81366666666666,35.08676666666667,34.591100000000004,36.215466666666664
Alpha-actinin-4,ACTN4,30.439666666666668,29.430866666666663,29.5235,31.00496666666667,28.1251,30.112966666666665
Actin-related protein 2,ACTR2,27.92973333333333,27.82753333333333,28.999033333333333,27.31826666666667,28.5763,27.69276666666667
Disintegrin and metalloproteinase domain-containing protein 10,ADAM10,29.033133333333335,28.0262,32.05273333333333,28.217899999999997,28.691900000000004,29.393966666666667
A disintegrin and metalloproteinase with thrombospondin motifs 7,ADAMTS7,25.69633333333333,24.4995,24.2847,24.77433333333333,24.467433333333332,25.340333333333334
Adenylosuccinate synthetase isozyme 2,ADSS,24.19696666666667,24.7273,26.462166666666665,24.915766666666666,25.107266666666664,24.08796666666667
Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,AGRN,32.3259,32.86053333333333,32.74026666666666,31.4943,32.32726666666667,33.905499999999996
Putative adenosylhomocysteinase 2;Adenosylhomocysteinase;Putative adenosylhomocysteinase 3,AHCYL1;AHCYL2,23.58883333333333,25.16373333333333,27.060766666666666,24.605999999999998,25.276600000000002,25.069733333333332
Neuroblast differentiation-associated protein AHNAK,AHNAK,29.430233333333334,26.520566666666667,31.182533333333335,29.4646,27.537233333333337,32.094966666666664
Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,AIMP2,24.144800000000004,24.874399999999998,26.507199999999997,24.158200000000004,25.139433333333333,24.28226666666667
A-kinase anchor protein 12,AKAP12,24.7831,24.74546666666667,25.859633333333335,24.65816666666667,24.587433333333333,24.79273333333333
CD166 antigen,ALCAM,28.880566666666667,26.849666666666664,31.2477,28.447433333333333,29.86893333333333,30.1418
Angiopoietin-related protein 2,ANGPTL2,26.451099999999997,25.971433333333334,25.24116666666667,27.978833333333338,25.1682,29.138800000000003
Rabankyrin-5,ANKFY1,24.829766666666668,25.316,25.6567,24.371066666666668,24.85806666666667,24.347466666666666
Anoctamin-6,ANO6,24.05773333333333,24.61793333333333,27.392266666666668,24.37506666666667,25.2132,26.67973333333333
Aminopeptidase N,ANPEP,26.31946666666667,25.712733333333333,32.632933333333334,24.648533333333333,27.6083,29.774266666666666
Anthrax toxin receptor 2,ANTXR2,24.029833333333332,24.5415,28.54693333333334,24.871133333333333,24.556133333333335,26.222066666666667
Annexin A2;Annexin;Putative annexin A2-like protein,ANXA2;ANXA2P2,29.368733333333335,31.619466666666668,33.61763333333333,28.624266666666667,32.2999,34.52556666666666
Annexin A5;Annexin,ANXA5,26.406200000000002,31.797933333333333,32.295633333333335,24.27746666666667,31.995966666666664,33.964333333333336
Annexin A7,ANXA7,24.0813,24.6003,26.577233333333336,24.381133333333334,25.16893333333333,25.01653333333333
AP-1 complex subunit gamma-1,AP1G1,24.300833333333333,24.48906666666667,25.238266666666664,23.359733333333335,25.1529,24.12023333333333
AP-2 complex subunit beta,AP2B1,27.1782,24.085766666666668,27.1403,26.7574,24.893433333333334,24.6452
AP-2 complex subunit mu,AP2M1,25.031666666666666,25.093566666666664,26.6427,24.465933333333336,24.887866666666667,24.818699999999996
Apolipoprotein E,APOE,26.750400000000003,23.9868,26.271299999999997,24.026300000000003,25.40063333333333,24.027533333333334
Arginase-1,ARG1,24.126966666666664,25.264666666666667,23.52146666666667,24.530766666666665,24.53073333333333,25.517566666666667
Rho GTPase-activating protein 1,ARHGAP1,24.6234,24.552366666666668,23.740433333333332,25.1832,24.790000000000003,25.551
Actin-related protein 2/3 complex subunit 1B,ARPC1B,29.48563333333333,27.695866666666664,29.2684,27.88846666666667,26.954633333333334,27.938266666666664
Actin-related protein 2/3 complex subunit 3,ARPC3,25.4521,24.103333333333335,26.533366666666666,26.612433333333332,24.550133333333335,24.69696666666667
Actin-related protein 2/3 complex subunit 4,ARPC4;ARPC4-TTLL3,24.164166666666663,27.127799999999997,27.646966666666668,24.26906666666667,27.236266666666666,27.095133333333337
Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,26.09606666666667,29.670833333333334,33.086333333333336,24.683333333333334,31.75616666666667,31.172933333333333
Sodium/potassium-transporting ATPase subunit beta-1,ATP1B1,24.16773333333333,24.441033333333333,27.031666666666666,24.2942,24.95896666666667,24.526466666666664
Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,ATP2A2,24.781166666666667,25.281500000000005,27.146600000000003,24.324633333333335,24.807533333333335,27.9649
"ATP synthase subunit alpha, mitochondrial",ATP5A1,26.230933333333336,25.953433333333333,27.118233333333336,27.017,26.750766666666664,28.328433333333333
V-type proton ATPase subunit G 1,ATP6V1G1,26.5479,25.09006666666666,27.38433333333333,24.201166666666666,25.9194,24.427266666666668
"Beta-1,4-glucuronyltransferase 1",B4GAT1,27.2051,25.44516666666667,23.792933333333334,26.769199999999998,25.2839,26.41326666666667
Flavin reductase (NADPH),BLVRB,24.9516,25.143133333333335,25.274066666666666,25.076533333333334,25.351200000000002,24.802699999999998
Bone morphogenetic protein 1,BMP1,28.29716666666667,27.484133333333332,27.870966666666664,28.402066666666666,27.482366666666667,24.412633333333332
Bone morphogenetic protein 2,BMP2,30.513833333333334,24.7863,26.696233333333335,24.677300000000002,25.23443333333333,24.4263
Basigin,BSG,23.6142,26.778833333333335,31.159533333333332,24.781533333333332,31.027033333333332,29.331233333333333
Butyrophilin subfamily 2 member A1,BTN2A1,24.804199999999998,24.77416666666667,29.054833333333335,24.310533333333336,25.05673333333333,24.84776666666667
"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1QBP,25.2075,24.93326666666667,24.781166666666664,25.894366666666667,24.801033333333333,23.856066666666667
Complement C1r subcomponent;Complement C1r subcomponent heavy chain;Complement C1r subcomponent light chain,C1R,31.25063333333333,31.26436666666667,24.571533333333335,33.044000000000004,30.225566666666666,28.75283333333333
Complement C1s subcomponent;Complement C1s subcomponent heavy chain;Complement C1s subcomponent light chain,C1S,31.691366666666667,31.570166666666665,24.345466666666667,33.03223333333333,30.21313333333333,27.870933333333337
Calcium-binding protein 39,CAB39,24.261300000000002,24.654566666666668,26.698233333333334,24.04393333333333,24.82936666666667,24.6367
Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1,CACNA2D1,26.576066666666666,24.084233333333334,31.388899999999996,24.648866666666663,27.698566666666665,29.32183333333333
Calcium/calmodulin-dependent protein kinase type II subunit delta,CAMK2D,24.572866666666666,25.03946666666667,24.575333333333333,24.76516666666667,25.255166666666668,25.999533333333336
Adenylyl cyclase-associated protein 1,CAP1,30.9532,24.638733333333334,30.138433333333335,28.746966666666665,24.921266666666668,29.150333333333336
