"Protein names","Gene names","OIS_CM","OIS_F20","OIS_F8","Vector_CM","Vector_F20","Vector_F8"
"1","Alanine--tRNA ligase, cytoplasmic","AARS",24.9903,25.7586333333333,26.0284666666667,23.7934666666667,25.5978333333333,26.9217666666667
"2","ATP-binding cassette sub-family A member 1","ABCA1",24.6106666666667,24.8999,29.0628666666667,24.6590333333333,24.9838,24.3527333333333
"3","Multidrug resistance-associated protein 4","ABCC4",23.7425666666667,25.0816,26.608,24.1639666666667,24.7413666666667,24.4848333333333
"4","Abl interactor 2","ABI2",24.1184,25.4636,25.13,24.3299,25.6812333333333,24.0848
"5","Angiotensin-converting enzyme;Angiotensin-converting enzyme, soluble form","ACE",25.0630666666667,25.1485,27.6746,24.2898666666667,25.3849333333333,24.9526666666667
"6","ATP-citrate synthase","ACLY",27.6600666666667,26.5446333333333,28.6468333333333,25.0668333333333,25.1596333333333,28.1323666666667
"7","Cytosolic acyl coenzyme A thioester hydrolase","ACOT7",24.1630333333333,25.0756333333333,26.2888333333333,24.5540666666667,25.0466666666667,24.9959666666667
"8","Long-chain-fatty-acid--CoA ligase 4","ACSL4",24.1462666666667,24.9814333333333,29.0047,24.1688333333333,25.1029333333333,24.4326333333333
"9","Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle","ACTC1;ACTA1",31.0282666666667,25.2820333333333,30.1353333333333,30.3506,28.1534,31.1274333333333
"10","Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed","ACTG1",35.1544666666667,34.5039666666667,35.8136666666667,35.0867666666667,34.5911,36.2154666666667
"11","Alpha-actinin-4","ACTN4",30.4396666666667,29.4308666666667,29.5235,31.0049666666667,28.1251,30.1129666666667
"12","Actin-related protein 2","ACTR2",27.9297333333333,27.8275333333333,28.9990333333333,27.3182666666667,28.5763,27.6927666666667
"13","Disintegrin and metalloproteinase domain-containing protein 10","ADAM10",29.0331333333333,28.0262,32.0527333333333,28.2179,28.6919,29.3939666666667
"14","A disintegrin and metalloproteinase with thrombospondin motifs 7","ADAMTS7",25.6963333333333,24.4995,24.2847,24.7743333333333,24.4674333333333,25.3403333333333
"15","Adenylosuccinate synthetase isozyme 2","ADSS",24.1969666666667,24.7273,26.4621666666667,24.9157666666667,25.1072666666667,24.0879666666667
"16","Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment","AGRN",32.3259,32.8605333333333,32.7402666666667,31.4943,32.3272666666667,33.9055
"17","Putative adenosylhomocysteinase 2;Adenosylhomocysteinase;Putative adenosylhomocysteinase 3","AHCYL1;AHCYL2",23.5888333333333,25.1637333333333,27.0607666666667,24.606,25.2766,25.0697333333333
"18","Neuroblast differentiation-associated protein AHNAK","AHNAK",29.4302333333333,26.5205666666667,31.1825333333333,29.4646,27.5372333333333,32.0949666666667
"19","Aminoacyl tRNA synthase complex-interacting multifunctional protein 2","AIMP2",24.1448,24.8744,26.5072,24.1582,25.1394333333333,24.2822666666667
"20","A-kinase anchor protein 12","AKAP12",24.7831,24.7454666666667,25.8596333333333,24.6581666666667,24.5874333333333,24.7927333333333
"21","CD166 antigen","ALCAM",28.8805666666667,26.8496666666667,31.2477,28.4474333333333,29.8689333333333,30.1418
"22","Angiopoietin-related protein 2","ANGPTL2",26.4511,25.9714333333333,25.2411666666667,27.9788333333333,25.1682,29.1388
"23","Rabankyrin-5","ANKFY1",24.8297666666667,25.316,25.6567,24.3710666666667,24.8580666666667,24.3474666666667
"24","Anoctamin-6","ANO6",24.0577333333333,24.6179333333333,27.3922666666667,24.3750666666667,25.2132,26.6797333333333
"25","Aminopeptidase N","ANPEP",26.3194666666667,25.7127333333333,32.6329333333333,24.6485333333333,27.6083,29.7742666666667
"26","Anthrax toxin receptor 2","ANTXR2",24.0298333333333,24.5415,28.5469333333333,24.8711333333333,24.5561333333333,26.2220666666667
"27","Annexin A2;Annexin;Putative annexin A2-like protein","ANXA2;ANXA2P2",29.3687333333333,31.6194666666667,33.6176333333333,28.6242666666667,32.2999,34.5255666666667
"28","Annexin A5;Annexin","ANXA5",26.4062,31.7979333333333,32.2956333333333,24.2774666666667,31.9959666666667,33.9643333333333
"29","Annexin A7","ANXA7",24.0813,24.6003,26.5772333333333,24.3811333333333,25.1689333333333,25.0165333333333
"30","AP-1 complex subunit gamma-1","AP1G1",24.3008333333333,24.4890666666667,25.2382666666667,23.3597333333333,25.1529,24.1202333333333
"31","AP-2 complex subunit beta","AP2B1",27.1782,24.0857666666667,27.1403,26.7574,24.8934333333333,24.6452
"32","AP-2 complex subunit mu","AP2M1",25.0316666666667,25.0935666666667,26.6427,24.4659333333333,24.8878666666667,24.8187
"33","Apolipoprotein E","APOE",26.7504,23.9868,26.2713,24.0263,25.4006333333333,24.0275333333333
"34","Arginase-1","ARG1",24.1269666666667,25.2646666666667,23.5214666666667,24.5307666666667,24.5307333333333,25.5175666666667
"35","Rho GTPase-activating protein 1","ARHGAP1",24.6234,24.5523666666667,23.7404333333333,25.1832,24.79,25.551
"36","Actin-related protein 2/3 complex subunit 1B","ARPC1B",29.4856333333333,27.6958666666667,29.2684,27.8884666666667,26.9546333333333,27.9382666666667
"37","Actin-related protein 2/3 complex subunit 3","ARPC3",25.4521,24.1033333333333,26.5333666666667,26.6124333333333,24.5501333333333,24.6969666666667
"38","Actin-related protein 2/3 complex subunit 4","ARPC4;ARPC4-TTLL3",24.1641666666667,27.1278,27.6469666666667,24.2690666666667,27.2362666666667,27.0951333333333
"39","Sodium/potassium-transporting ATPase subunit alpha-1","ATP1A1",26.0960666666667,29.6708333333333,33.0863333333333,24.6833333333333,31.7561666666667,31.1729333333333
"40","Sodium/potassium-transporting ATPase subunit beta-1","ATP1B1",24.1677333333333,24.4410333333333,27.0316666666667,24.2942,24.9589666666667,24.5264666666667
"41","Sarcoplasmic/endoplasmic reticulum calcium ATPase 2","ATP2A2",24.7811666666667,25.2815,27.1466,24.3246333333333,24.8075333333333,27.9649
"42","ATP synthase subunit alpha, mitochondrial","ATP5A1",26.2309333333333,25.9534333333333,27.1182333333333,27.017,26.7507666666667,28.3284333333333
"43","V-type proton ATPase subunit G 1","ATP6V1G1",26.5479,25.0900666666667,27.3843333333333,24.2011666666667,25.9194,24.4272666666667
"44","Beta-1,4-glucuronyltransferase 1","B4GAT1",27.2051,25.4451666666667,23.7929333333333,26.7692,25.2839,26.4132666666667
"45","Flavin reductase (NADPH)","BLVRB",24.9516,25.1431333333333,25.2740666666667,25.0765333333333,25.3512,24.8027
"46","Bone morphogenetic protein 1","BMP1",28.2971666666667,27.4841333333333,27.8709666666667,28.4020666666667,27.4823666666667,24.4126333333333
"47","Bone morphogenetic protein 2","BMP2",30.5138333333333,24.7863,26.6962333333333,24.6773,25.2344333333333,24.4263
"48","Basigin","BSG",23.6142,26.7788333333333,31.1595333333333,24.7815333333333,31.0270333333333,29.3312333333333
"49","Butyrophilin subfamily 2 member A1","BTN2A1",24.8042,24.7741666666667,29.0548333333333,24.3105333333333,25.0567333333333,24.8477666666667
"50","Complement component 1 Q subcomponent-binding protein, mitochondrial","C1QBP",25.2075,24.9332666666667,24.7811666666667,25.8943666666667,24.8010333333333,23.8560666666667
